URI,Label,Description,Type,EdgePropertyOf,SourceClass,TargetClass
http://release.niem.gov/niem/domains/jxdm/7.2/#ChargeDisposition,charge disposition,A result or processing of a charge.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge,
http://release.niem.gov/niem/domains/jxdm/7.2/#ChargeDispositionCategoryText,charge disposition category text,"A kind of charge disposition (e.g., dismissed, guilty plea)",Predicate,,,
http://release.niem.gov/niem/domains/jxdm/7.2/#ChargeFiledCase,Charge Filed Case,A case in which a charge is filed.,Predicate,,,
http://release.niem.gov/niem/domains/jxdm/7.2/#ChargeSentence,charge sentence,A sentence given to a person convicted of a charge.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge,http://release.niem.gov/niem/domains/jxdm/7.2/#Sentence
http://release.niem.gov/niem/domains/jxdm/7.2/#ChargeSequenceID,charge sequence ID,A sequentially assigned identifier for charge tracking purposes.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge,
http://release.niem.gov/niem/domains/jxdm/7.2/#ChargeSeverityLevelCode,charge severity level code,"A level of severity of a charge (e.g., felony, misdemeanor)",Predicate,,,
http://release.niem.gov/niem/domains/jxdm/7.2/#ChargeSubject,charge subject,A person accused of committing a specific offense.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge,http://release.niem.gov/niem/niem-core/5.0/#Person
http://release.niem.gov/niem/domains/jxdm/7.2/#ChargeText,charge text,A text of a charge.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge,
http://release.niem.gov/niem/domains/jxdm/7.2/#CourtCategoryCode,court category code,A kind of court.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Court,
http://release.niem.gov/niem/domains/jxdm/7.2/#CourtName,court name,A name of a unit of a court.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Court,
http://release.niem.gov/niem/domains/jxdm/7.2/#DrugCategoryCode,drug category code,A kind of drug.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge,
http://release.niem.gov/niem/domains/jxdm/7.2/#IncidentArrest,Incident Arrest,An arrest made because of an incident.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#Incident,http://release.niem.gov/niem/domains/jxdm/7.2/#Arrest
http://release.niem.gov/niem/domains/jxdm/7.2/#JudicialOfficialCategoryText,judicial official category text,A kind of judicial official.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge,
http://release.niem.gov/niem/domains/jxdm/7.2/#OrganizationCategoryNLETSCode,Organization Category NLETSCode,A functional kind of an organization.,Predicate,,,
http://release.niem.gov/niem/domains/jxdm/7.2/#ParticipantRoleCategoryText,participant role category text,A kind of role of a participant.,Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,
http://release.niem.gov/niem/domains/jxdm/7.2/#PersonCharge,person charge,A sequence of charges against a person.,Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,http://release.niem.gov/niem/domains/jxdm/7.2/#Charge
http://release.niem.gov/niem/domains/jxdm/7.2/#PersonSexCode,person sex code,A code set identifying a gender or sex of a person.,Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,
http://release.niem.gov/niem/domains/jxdm/7.2/#PersonSexCode,person sex code,A code set identifying a gender or sex of a person.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#Person,
http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction,Register Action,A history of action for a case.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction
http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction,Register Action,A history of action for a case.,Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction
http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterActionDate,register action date,A date an action took place in a register of actions.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction,
http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterActionDescriptionText,register action description text,A description of something that happened in a case in a register of actions entry.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction,
http://release.niem.gov/niem/domains/jxdm/7.2/#Sentence,sentence,A punishment resulting from conviction of charges in a court case.,Predicate,,,
http://release.niem.gov/niem/domains/jxdm/7.2/#SentenceDescriptionText,sentence description text,A description of the sentence being imposed.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Sentence,
http://release.niem.gov/niem/domains/jxdm/7.2/#SentenceTerm,sentence term,A duration of a sentence. Specified as either a specific term in days-months-years or as a minimum-maximum range.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Sentence,http://release.niem.gov/niem/domains/jxdm/7.2/#SentenceTerm
http://release.niem.gov/niem/domains/jxdm/7.2/#StatuteKeywordText,statute keyword text,A brief description of a Statute which makes use of catchwords.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://release.niem.gov/niem/domains/jxdm/7.2/#TermDuration,term duration,A specific range or duration of a term.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#SentenceTerm,
http://release.niem.gov/niem/niem-core/5.0/#ActivityDate,activity date,A date of an activity.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Arrest,
http://release.niem.gov/niem/niem-core/5.0/#AddressPostalCode,address postal code,An identifier of a post office-assigned zone for an address.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Court,
http://release.niem.gov/niem/niem-core/5.0/#AdministrativeID,administrative ID,An identifier generated locally within a processing system used to identify sub-records within an entity-of-interest record.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction,
http://release.niem.gov/niem/niem-core/5.0/#CaseDocketID,case docket ID,An identifier used to reference a case docket.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://release.niem.gov/niem/niem-core/5.0/#CaseGeneralCategoryText,case general category text,A broadly defined kind of case.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://release.niem.gov/niem/niem-core/5.0/#CaseSubCategoryText,case sub category text,A more specific classification of a kind of case.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://release.niem.gov/niem/niem-core/5.0/#ContactMailingAddress,contact mailing address,A postal address by which a person or organization may be contacted.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Attorney,
http://release.niem.gov/niem/niem-core/5.0/#DocumentSequenceID,Document Sequence ID,An identifier that determines the document order in a set of related documents.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction,
http://release.niem.gov/niem/niem-core/5.0/#EndDate,end date,An end date.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://release.niem.gov/niem/niem-core/5.0/#EndDate,end date,An end date.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Booking,
http://release.niem.gov/niem/niem-core/5.0/#EntityName,entity name,A name of an entity.,Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,
http://release.niem.gov/niem/niem-core/5.0/#FacilityName,facility name,A name of a facility.,Predicate,,,
http://release.niem.gov/niem/niem-core/5.0/#Incident,Incident,An occurrence or an event that may require a response.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Arrest,http://release.niem.gov/niem/niem-core/5.0/#Incident
http://release.niem.gov/niem/niem-core/5.0/#JurisdictionText,jurisdiction text,An area in which an organization or person has some kind of authoritative capacity or responsibility over.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://release.niem.gov/niem/niem-core/5.0/#Location,Location,A geospatial location.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Arrest,http://release.niem.gov/niem/niem-core/5.0/#Location
http://release.niem.gov/niem/niem-core/5.0/#MeasureDecimalValue,Measure Decimal Value,A decimal measurement value.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#RelativeLocationDistanceMeasure,
http://release.niem.gov/niem/niem-core/5.0/#MeasureUnitText,Measure Unit Text,A unit that qualifies the measurement value.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#RelativeLocationDistanceMeasure,
http://release.niem.gov/niem/niem-core/5.0/#OrganizationLocation,Organization Location,A location of an organization.,Predicate,,,
http://release.niem.gov/niem/niem-core/5.0/#OrganizationName,organization name,A name of an organization.,Predicate,,http://schemas.scales-okn.org/rdf/scales#LawFirm,
http://release.niem.gov/niem/niem-core/5.0/#OrganizationName,organization name,A name of an organization.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#ArrestAgency,
http://release.niem.gov/niem/niem-core/5.0/#PersonFullName,person full name,A complete name of a person.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge,
http://release.niem.gov/niem/niem-core/5.0/#PersonFullName,person full name,A complete name of a person.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Attorney,
http://release.niem.gov/niem/niem-core/5.0/#PersonID,person ID,A unique identifier assigned to a person,Predicate,,,
http://release.niem.gov/niem/niem-core/5.0/#PersonRaceText,person race text,A classification of a person based on factors such as geographical locations and genetics.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge,
http://release.niem.gov/niem/niem-core/5.0/#PersonRaceText,person race text,A classification of a person based on factors such as geographical locations and genetics.,Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,
http://release.niem.gov/niem/niem-core/5.0/#PersonRaceText,person race text,A classification of a person based on factors such as geographical locations and genetics.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#Person,
http://release.niem.gov/niem/niem-core/5.0/#PersonSexText,person sex text,A gender or sex of a person.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge,
http://release.niem.gov/niem/niem-core/5.0/#PhysicalAddress,Physical Address,A physical address for a location. This may or may not be the same as the location's mailing address.,Predicate,,,
http://release.niem.gov/niem/niem-core/5.0/#RelativeLocation,Relative Location,A location identified by its proximity to another location.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#Location,http://release.niem.gov/niem/niem-core/5.0/#RelativeLocation
http://release.niem.gov/niem/niem-core/5.0/#RelativeLocationDistanceMeasure,Relative Location Distance Measure,A measurement of the distance of a location from a starting point.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#RelativeLocation,http://release.niem.gov/niem/niem-core/5.0/#RelativeLocationDistanceMeasure
http://release.niem.gov/niem/niem-core/5.0/#RelativeLocationReferencePoint,Relative Location Reference Point,A starting point used as a basis to determine the location of another point.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#RelativeLocation,http://release.niem.gov/niem/niem-core/5.0/#Location
http://release.niem.gov/niem/niem-core/5.0/#StartDate,start date,A date on which something begins.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://release.niem.gov/niem/niem-core/5.0/#StartDate,start date,A date on which something begins.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Booking,
http://release.niem.gov/niem/niem-core/5.0/#StatusDescriptionText,status description text,A description of a status or condition of something or someone.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#CourtCase,
http://release.niem.gov/niem/niem-core/5.0/#URLID,URLID,An identifier representing a universal resource locator (URL).,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge,
http://sail.ua.edu/ruralkg/treatmentprovider/TreatmentProvider,Treatment Provider,"An entity, such as a clinic or hospital, that offers treatment.",Predicate,,http://release.niem.gov/niem/niem-core/5.0/#Location,
http://schemas.scales-okn.org/rdf/scales#BirthYear,birth year,The year a person was born.,Predicate,,http://schemas.scales-okn.org/rdf/scales#Party,
http://schemas.scales-okn.org/rdf/scales#BirthYear,birth year,The year a person was born.,Predicate,,http://release.niem.gov/niem/niem-core/5.0/#Person,
http://schemas.scales-okn.org/rdf/scales#LawFirm,Law Firm,A law firm or other office offering legal services.,Predicate,,,
http://schemas.scales-okn.org/rdf/scales#OntologyLabel,ontology label,An event label or attribute label from the SCALES Litigation Ontology that applies to a given docket entry.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction,
http://schemas.scales-okn.org/rdf/scales#Party,party,A party to a court case.,Predicate,,,
http://schemas.scales-okn.org/rdf/scales#appointedByParty,appointed by party,Indicates which party appointed an attorney,Predicate,,,
http://schemas.scales-okn.org/rdf/scales#assignedToDefendant,assigned to defendant,Indicates assignment of an attorney to a defendant,Predicate,,,
http://schemas.scales-okn.org/rdf/scales#containsNeighborhood,contains Neighborhood,Links a geographic area to a neighborhood located within it.,Predicate,,,
http://schemas.scales-okn.org/rdf/scales#hasChargeType,has charge type,Specifies the type of criminal or civil charge,Predicate,,,
http://schemas.scales-okn.org/rdf/scales#hasCommissionDate,has commission date,The date on which the US president signed the commission formalizing the appointment of a given judge.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#Judge,
http://schemas.scales-okn.org/rdf/scales#hasEntityReference,has Entity Reference,A disambiguated entity referenced in the given text.,Predicate,,http://release.niem.gov/niem/domains/jxdm/7.2/#RegisterAction,
http://schemas.scales-okn.org/rdf/scales#hasExtraInfo,has extra info,Additional information not captured in other fields,Predicate,,,
