mondo_id,mondo_curie,disease_label
MONDO_0007648,MONDO:0007648,hereditary diffuse gastric adenocarcinoma
MONDO_0019180,MONDO:0019180,hereditary hemorrhagic telangiectasia
MONDO_0011445,MONDO:0011445,hereditary spastic paraplegia 11
MONDO_0010733,MONDO:0010733,hereditary spastic paraplegia 2
MONDO_0008437,MONDO:0008437,hereditary spastic paraplegia 3A
MONDO_0008438,MONDO:0008438,hereditary spastic paraplegia 4
MONDO_0010047,MONDO:0010047,hereditary spastic paraplegia 5A
MONDO_0019312,MONDO:0019312,Hermansky-Pudlak syndrome
MONDO_0009353,MONDO:0009353,homocystinuria due to methylene tetrahydrofolate reductase deficiency
MONDO_0018328,MONDO:0018328,homozygous familial hypercholesterolemia
MONDO_0007739,MONDO:0007739,Huntington disease
MONDO_0007818,MONDO:0007818,Hyper-IgE recurrent infection syndrome 1
MONDO_0010626,MONDO:0010626,hyper-IgM syndrome type 1
MONDO_0009849,MONDO:0009849,hyperimmunoglobulinemia D with periodic fever
MONDO_0008224,MONDO:0008224,hyperkalemic periodic paralysis
MONDO_0018473,MONDO:0018473,hyperlipoproteinemia type 3
MONDO_0007762,MONDO:0007762,hyperlipoproteinemia type V
MONDO_0007768,MONDO:0007768,hyperparathyroidism 2 with jaw tumors
MONDO_0017774,MONDO:0017774,hypobetalipoproteinemia
MONDO_0018555,MONDO:0018555,hypogonadotropic hypogonadism
MONDO_0018570,MONDO:0018570,hypophosphatasia
MONDO_0019052,MONDO:0019052,inborn errors of metabolism
MONDO_0007403,MONDO:0007403,inherited Creutzfeldt-Jakob disease
MONDO_0008788,MONDO:0008788,IRIDA syndrome
MONDO_0009876,MONDO:0009876,isolated growth hormone deficiency type IA
MONDO_0010139,MONDO:0010139,isolated thyroid-stimulating hormone deficiency
MONDO_0002441,MONDO:0002441,Jervell and Lange-Nielsen syndrome
MONDO_0018772,MONDO:0018772,Joubert syndrome
MONDO_0017612,MONDO:0017612,junctional epidermolysis bullosa
MONDO_0009696,MONDO:0009696,juvenile myoclonic epilepsy
MONDO_0020367,MONDO:0020367,juvenile open angle glaucoma
MONDO_0017380,MONDO:0017380,juvenile polyposis syndrome
MONDO_0018800,MONDO:0018800,Kallmann syndrome
MONDO_0010735,MONDO:0010735,Kennedy disease
MONDO_0015486,MONDO:0015486,keratoconus
MONDO_0012548,MONDO:0012548,Kostmann syndrome
MONDO_0009499,MONDO:0009499,Krabbe disease
MONDO_0009697,MONDO:0009697,Lafora disease
MONDO_0009509,MONDO:0009509,Landau-Kleffner syndrome
MONDO_0011579,MONDO:0011579,late-onset retinal degeneration
MONDO_0010788,MONDO:0010788,Leber hereditary optic neuropathy
MONDO_0009723,MONDO:0009723,Leigh syndrome
MONDO_0016532,MONDO:0016532,Lennox-Gastaut syndrome
MONDO_0007481,MONDO:0007481,Leri-Weill dyschondrosteosis
MONDO_0018875,MONDO:0018875,Li-Fraumeni syndrome
MONDO_0008323,MONDO:0008323,Liddle syndrome
MONDO_0016971,MONDO:0016971,limb-girdle muscular dystrophy
MONDO_0012173,MONDO:0012173,long chain 3-hydroxyacyl-CoA dehydrogenase deficiency
MONDO_0013367,MONDO:0013367,long QT syndrome 2
MONDO_0013372,MONDO:0013372,long QT syndrome 5
MONDO_0012736,MONDO:0012736,long QT syndrome 9
MONDO_0010939,MONDO:0010939,low phospholipid associated cholelithiasis
MONDO_0019313,MONDO:0019313,lymphatic malformation
MONDO_0016537,MONDO:0016537,lymphoproliferative syndrome
MONDO_0005835,MONDO:0005835,Lynch syndrome
MONDO_0015912,MONDO:0015912,macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss
MONDO_0009020,MONDO:0009020,macular corneal dystrophy
MONDO_0018493,MONDO:0018493,malignant hyperthermia of anesthesia
MONDO_0009563,MONDO:0009563,maple syrup urine disease
MONDO_0007947,MONDO:0007947,Marfan syndrome
MONDO_0011431,MONDO:0011431,MASS syndrome
MONDO_0009568,MONDO:0009568,mast syndrome
MONDO_0007452,MONDO:0007452,maturity-onset diabetes of the young type 1
MONDO_0018919,MONDO:0018919,McCune-Albright syndrome
MONDO_0008721,MONDO:0008721,medium chain acyl-CoA dehydrogenase deficiency
MONDO_0018868,MONDO:0018868,metachromatic leukodystrophy
MONDO_0013254,MONDO:0013254,"microcephaly, seizures, and developmental delay"
MONDO_0020756,MONDO:0020756,"migraine, familial hemiplegic, 1"
MONDO_0010159,MONDO:0010159,mismatch repair cancer syndrome 1
MONDO_0012791,MONDO:0012791,"mitochondrial DNA depletion syndrome, encephalomyopathic form with methylmalonic aciduria"
MONDO_0044714,MONDO:0044714,mitochondrial myopathy-cerebellar ataxia-pigmentary retinopathy syndrome
MONDO_0017575,MONDO:0017575,mitochondrial neurogastrointestinal encephalomyopathy
MONDO_0009685,MONDO:0009685,Miyoshi myopathy
MONDO_0009341,MONDO:0009341,Mowat-Wilson syndrome
MONDO_0009650,MONDO:0009650,mucolipidosis type II
MONDO_0019249,MONDO:0019249,mucopolysaccharidosis
MONDO_0001586,MONDO:0001586,mucopolysaccharidosis type 1
MONDO_0018937,MONDO:0018937,mucopolysaccharidosis type 3
MONDO_0009282,MONDO:0009282,multiple acyl-CoA dehydrogenase deficiency
MONDO_0007540,MONDO:0007540,multiple endocrine neoplasia type 1
MONDO_0008082,MONDO:0008082,multiple endocrine neoplasia type 2B
MONDO_0018939,MONDO:0018939,muscle-eye-brain disease
MONDO_0020121,MONDO:0020121,muscular dystrophy
MONDO_0000171,MONDO:0000171,"muscular dystrophy-dystroglycanopathy, type A"
MONDO_0012041,MONDO:0012041,MUTYH-related attenuated familial adenomatous polyposis
MONDO_0012154,MONDO:0012154,myopia 6
MONDO_0016107,MONDO:0016107,myotonic dystrophy
MONDO_0008056,MONDO:0008056,myotonic dystrophy type 1
MONDO_0011266,MONDO:0011266,myotonic dystrophy type 2
MONDO_0010794,MONDO:0010794,NARP syndrome
MONDO_0009735,MONDO:0009735,Netherton syndrome
MONDO_0016987,MONDO:0016987,neuroacanthocytosis
MONDO_0009578,MONDO:0009578,neurocutaneous melanocytosis
MONDO_0018975,MONDO:0018975,neurofibromatosis type 1
MONDO_0007039,MONDO:0007039,neurofibromatosis type 2
MONDO_0009744,MONDO:0009744,neuronal ceroid lipofuscinosis 1
MONDO_0009756,MONDO:0009756,Niemann-Pick disease type A
MONDO_0018982,MONDO:0018982,Niemann-Pick disease type C
MONDO_0008060,MONDO:0008060,nonsyndromic congenital nail disorder 1
MONDO_0009366,MONDO:0009366,normal pressure hydrocephalus
MONDO_0017138,MONDO:0017138,Opitz G/BBB syndrome
MONDO_0008133,MONDO:0008133,optic atrophy 3
MONDO_0019019,MONDO:0019019,osteogenesis imperfecta
MONDO_0017198,MONDO:0017198,osteopetrosis
MONDO_0011972,MONDO:0011972,ovarian hyperstimulation syndrome
MONDO_0008195,MONDO:0008195,paramyotonia congenita of Von Eulenburg
