rare_disease_name,oardkg_disease_id,prokn_disease_id,uniprot_accession,gene_symbols
classic galactosemia,MONDO:0009258,OMIM:230400,P07902,GALT
GM1 gangliosidosis type 1,MONDO:0009260,OMIM:230500,P16278,GLB1
Bernard-Soulier syndrome,MONDO:0009276,OMIM:231200,P07359,GP1BA
Bernard-Soulier syndrome,MONDO:0009276,OMIM:231200,P13224,GP1BB
Bernard-Soulier syndrome,MONDO:0009276,OMIM:231200,P14770,GP9
multiple acyl-CoA dehydrogenase deficiency,MONDO:0009282,OMIM:231680,P13804,ETFA
multiple acyl-CoA dehydrogenase deficiency,MONDO:0009282,OMIM:231680,P38117,ETFB
multiple acyl-CoA dehydrogenase deficiency,MONDO:0009282,OMIM:231680,Q16134,ETFDH
glycogen storage disease II,MONDO:0009290,OMIM:232300,P10253,GAA
glycogen storage disease II,MONDO:0009290,OMIM:232400,P35573,AGL
glycogen storage disease III,MONDO:0009291,OMIM:232400,P35573,AGL
glycogen storage disease due to glycogen branching enzyme deficiency,MONDO:0009292,OMIM:232500,Q04446,GBE1
glycogen storage disease V,MONDO:0009293,OMIM:232600,P11217,PYGM
glycogen storage disease VI,MONDO:0009294,OMIM:232700,P06737,PYGL
familial renal glucosuria,MONDO:0009297,OMIM:233100,P31639,SLC5A2
pulmonary venoocclusive disease 2,MONDO:0009329,OMIM:234810,Q9P2K8,EIF2AK4
Mowat-Wilson syndrome,MONDO:0009341,OMIM:235730,O60315,ZEB2
homocystinuria due to methylene tetrahydrofolate reductase deficiency,MONDO:0009353,OMIM:236250,P42898,MTHFR
normal pressure hydrocephalus,MONDO:0009366,OMIM:236690,Q8NDM7,CFAP43
carbamoyl phosphate synthetase I deficiency disease,MONDO:0009376,OMIM:237300,P31327,CPS1
transient familial neonatal hyperbilirubinemia,MONDO:0009383,OMIM:237900,P22309,UGT1A1
familial lipoprotein lipase deficiency,MONDO:0009387,OMIM:238600,P06858,LPL
autoimmune polyendocrine syndrome type 1,MONDO:0009411,OMIM:240300,O43918,AIRE
Krabbe disease,MONDO:0009499,OMIM:245200,P54803,GALC
Landau-Kleffner syndrome,MONDO:0009509,OMIM:245570,Q12879,GRIN2A
severe early-childhood-onset retinal dystrophy,MONDO:0009549,OMIM:248200,P78363,ABCA4
severe early-childhood-onset retinal dystrophy,MONDO:0009549,OMIM:248200,Q9NQW8,CNGB3
maple syrup urine disease,MONDO:0009563,OMIM:248600,P12694,BCKDHA
mast syndrome,MONDO:0009568,OMIM:248900,Q9NZD8,SPG21
neurocutaneous melanocytosis,MONDO:0009578,OMIM:249400,P01111,NRAS
mucolipidosis type II,MONDO:0009650,OMIM:252500,Q3T906,GNPTA; GNPTAB; KIAA1208
Sanfilippo syndrome type A,MONDO:0009655,OMIM:252900,P51688,SGSH
biotinidase deficiency,MONDO:0009665,OMIM:253260,P43251,BTD
autosomal recessive limb-girdle muscular dystrophy type 2A,MONDO:0009675,OMIM:253600,P20807,CAPN3
autosomal recessive limb-girdle muscular dystrophy type 2C,MONDO:0009677,OMIM:253700,Q13326,SGCG
Miyoshi myopathy,MONDO:0009685,OMIM:254130,O75923,DYSF
juvenile myoclonic epilepsy,MONDO:0009696,OMIM:607628,P51788,CLCN2
juvenile myoclonic epilepsy,MONDO:0009696,OMIM:254770,Q5JVL4,EFHC1
Lafora disease,MONDO:0009697,OMIM:254780,O95278,EPM2A
carnitine palmitoyl transferase 1A deficiency,MONDO:0009705,OMIM:255120,P50416,CPT1A
Leigh syndrome,MONDO:0009723,OMIM:256000,P00846,MT-ATP6
Leigh syndrome,MONDO:0009723,OMIM:256000,P03891,MT-ND2
Leigh syndrome,MONDO:0009723,OMIM:256000,P03897,MT-ND3
Leigh syndrome,MONDO:0009723,OMIM:256000,P03915,MT-ND5
Leigh syndrome,MONDO:0009723,OMIM:256000,P03923,MT-ND6
Leigh syndrome,MONDO:0009723,OMIM:256000,P31040,SDHA
Leigh syndrome,MONDO:0009723,OMIM:256000,P54098,POLG
"congenital nephrotic syndrome, Finnish type",MONDO:0009732,OMIM:256300,O60500,NPHS1
Netherton syndrome,MONDO:0009735,OMIM:256500,Q9NQ38,SPINK5
neuronal ceroid lipofuscinosis 1,MONDO:0009744,OMIM:256730,P50897,PPT1
Niemann-Pick disease type A,MONDO:0009756,OMIM:257200,P17405,SMPD1
primary hyperoxaluria type 1,MONDO:0009823,OMIM:259900,P21549,AGXT
Shwachman-Diamond syndrome,MONDO:0009833,OMIM:260400,Q9Y3A5,SBDS
hyperimmunoglobulinemia D with periodic fever,MONDO:0009849,OMIM:260920,Q03426,MVK
phenylketonuria,MONDO:0009861,OMIM:261600,P00439,PAH
glycogen storage disease due to phosphoglycerate mutase deficiency,MONDO:0009865,OMIM:261670,P15259,PGAM2
isolated growth hormone deficiency type IA,MONDO:0009876,OMIM:262400,P01241,GH1
autosomal recessive polycystic kidney disease,MONDO:0009889,OMIM:263200,P08F94,PKHD1
adult polyglucosan body disease,MONDO:0009897,OMIM:263570,Q04446,GBE1
Gitelman syndrome,MONDO:0009904,OMIM:263800,P55017,SLC12A3
autosomal recessive inherited pseudoxanthoma elasticum,MONDO:0009925,OMIM:264800,O95255,ABCC6
autosomal recessive inherited pseudoxanthoma elasticum,MONDO:0009925,OMIM:264800,Q86Y38,XYLT1
autosomal recessive inherited pseudoxanthoma elasticum,MONDO:0009925,OMIM:264800,Q9H1B5,XYLT2
Smith-Lemli-Opitz syndrome,MONDO:0010035,OMIM:270400,Q9UBM7,DHCR7
hereditary spastic paraplegia 5A,MONDO:0010047,OMIM:270800,O75881,CYP7B1
"spinal muscular atrophy, type IV",MONDO:0010056,OMIM:271150,Q16637,SMN2; SMN1
Canavan disease,MONDO:0010079,OMIM:271900,P45381,ASPA
Tay-Sachs disease,MONDO:0010100,OMIM:272800,P06865,HEXA
"thyroid hormone resistance, generalized, autosomal recessive",MONDO:0010131,OMIM:274300,P10828,THRB
isolated thyroid-stimulating hormone deficiency,MONDO:0010139,OMIM:275100,P01222,TSHB
mismatch repair cancer syndrome 1,MONDO:0010159,OMIM:276300,P40692,MLH1
Usher syndrome type 1,MONDO:0010168,OMIM:276900,Q13402,MYO7A
familial isolated deficiency of vitamin E,MONDO:0010188,OMIM:277460,P49638,TTPA
X-linked adrenal hypoplasia congenita,MONDO:0010264,OMIM:300200,P51843,NR0B1
Danon disease,MONDO:0010281,OMIM:300257,P13473,LAMP2
"developmental and epileptic encephalopathy, 36",MONDO:0010472,OMIM:300884,Q9NP73,ALG13
Wiskott-Aldrich syndrome,MONDO:0010518,OMIM:301000,P42768,WAS
Barth syndrome,MONDO:0010543,OMIM:302060,Q16635,TAFAZZIN
glycogen storage disease IXa,MONDO:0010598,OMIM:306000,P46019,PHKA2
hemophilia B,MONDO:0010604,OMIM:306900,P00740,F9
CHILD syndrome,MONDO:0010621,OMIM:308050,Q15738,NSDHL
hyper-IgM syndrome type 1,MONDO:0010626,OMIM:308230,P29965,CD40LG
pyruvate dehydrogenase E1-alpha deficiency,MONDO:0010717,OMIM:312170,P08559,PDHA1
Rett syndrome,MONDO:0010726,OMIM:312750,P51608,MECP2
hereditary spastic paraplegia 2,MONDO:0010733,OMIM:312920,P60201,PLP1
Kennedy disease,MONDO:0010735,OMIM:313200,P10275,AR
"cardiac valvular dysplasia, X-linked",MONDO:0010753,OMIM:314400,P21333,FLNA
NARP syndrome,MONDO:0010794,OMIM:551500,P00846,MT-ATP6
childhood absence epilepsy,MONDO:0010826,OMIM:607681,P18507,GABRG2
low phospholipid associated cholelithiasis,MONDO:0010939,OMIM:600803,P21439,ABCB4
Timothy syndrome,MONDO:0010979,OMIM:618447,Q13936,CACNA1C
early-onset non-syndromic cataract,MONDO:0011060,OMIM:604219,P02489,CRYAA
early-onset non-syndromic cataract,MONDO:0011060,OMIM:115700,P07320,CRYGD
retinitis pigmentosa 19,MONDO:0011137,OMIM:601718,P78363,ABCA4
childhood apraxia of speech,MONDO:0011184,OMIM:602081,O15409,FOXP2
amyotrophic lateral sclerosis type 4,MONDO:0011223,OMIM:602433,Q7Z333,SETX
myotonic dystrophy type 2,MONDO:0011266,OMIM:168300,P35499,SCN4A
retinitis pigmentosa 25,MONDO:0011272,OMIM:602772,Q5T1H1,EYS
